year,week,outbreak_starting_date,reporting_date,state,district,disease_illness_name,status,cases,deaths,unit,note
2025,16,2025-04-15,2025-04-16,Jharkhand,Giridih,Chickenpox,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-19,2025-04-19,Jharkhand,Lohardaga,Fever with Rash,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-14,2025-04-15,Jharkhand,Sahebganj,Malaria,Reported,64,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-19,2025-04-19,Jharkhand,Simdega,Chickenpox,Reported,6,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-18,2025-04-18,Kerala,Ernakulam,Typhoid,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-18,2025-04-18,Kerala,Kollam,Food Poisoning,Reported,67,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-18,2025-04-19,Kerala,Palakkad,Hepatitis A,Reported,31,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-12,2025-04-16,Kerala,Pathanamthitta,Food Poisoning,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-19,2025-04-19,Kerala,Thiruvananthapuram,Food Poisoning,Reported,70,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-10,2025-04-16,Kerala,Thrissur,Hepatitis A,Reported,29,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-14,2025-04-14,Madhya Pradesh,Bhopal,Acute Diarrheal Disease,Reported,40,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-16,2025-04-16,Madhya Pradesh,Datia,Chickenpox,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-19,2025-04-19,Madhya Pradesh,Mandsaur,Food Poisoning,Reported,650,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-17,2025-04-17,Madhya Pradesh,Morena,Measles,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-19,2025-04-19,Madhya Pradesh,Rajgarh,Food Poisoning,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-16,2025-04-17,Madhya Pradesh,Seoni,Chickenpox,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-17,2025-04-17,Maharashtra,Dharashiv,Food Poisoning,Reported,122,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-15,2025-04-17,Maharashtra,Mumbai Suburban,Acute Diarrheal Disease,Reported,17,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-17,2025-04-18,Maharashtra,Nanded,Food Poisoning,Reported,52,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-15,2025-04-15,Meghalaya,East Khasi Hills,Chickenpox,Reported,64,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-17,2025-04-17,Odisha,Bhadrak,Food Poisoning,Reported,51,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-17,2025-04-19,Tamil Nadu,Theni,Hepatitis A,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-19,2025-04-19,Tamil Nadu,Tiruchirappalli,Food Poisoning,Reported,129,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-18,2025-04-18,West Bengal,Alipurduar,Chickenpox,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-19,2025-04-19,West Bengal,Purulia,Acute Diarrheal Disease,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-06,2025-04-07,Assam,Darrang,Food Poisoning,Reported,64,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-07,2025-04-07,Assam,Dibrugarh,Shigellosis,Reported,25,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-11,2025-04-11,Goa,South Goa,Food Poisoning,Reported,43,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-10,2025-04-11,Gujarat,Bhavnagar,Acute Gastroenteritis,Reported,20,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-12,2025-04-13,Gujarat,Navsari,Food Poisoning,Reported,120,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-09,2025-04-10,Gujarat,Surat,Acute Diarrheal Disease,Reported,118,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-12,2025-04-12,Jammu and Kashmir,Kulgam,Hepatitis A,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-07,2025-04-08,Jharkhand,Dhanbad,Chickenpox,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-05,2025-04-07,Jharkhand,Godda,Measles,Reported,3,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-11,2025-04-11,Jharkhand,Jamtara,Chickenpox,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-09,2025-04-09,Jharkhand,Latehar,Scrub Typhus,Reported,26,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-09,2025-04-11,Karnataka,Raichur,Food Poisoning,Reported,19,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-10,2025-04-10,Kerala,Ernakulam,Typhoid,Reported,17,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-09,2025-04-10,Kerala,Kasaragod,Hepatitis A,Reported,73,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-09,2025-04-09,Kerala,Kasaragod,Food Poisoning,Reported,225,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-10,2025-04-10,Kerala,Kottayam,Hepatitis A,Reported,16,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-11,2025-04-11,Kerala,Malappuram,Food Poisoning,Reported,26,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-11,2025-04-11,Kerala,Malappuram,Food Poisoning,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-09,2025-04-09,Kerala,Palakkad,Food Poisoning,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-13,2025-04-13,Madhya Pradesh,Niwari,Chickenpox,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-12,2025-04-13,Madhya Pradesh,Ratlam,Acute Diarrheal Disease,Reported,15,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-07,2025-04-08,Maharashtra,Amravati,Acute Diarrheal Disease,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-07,2025-04-08,Maharashtra,Dharashiv,Chikungunya,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-05,2025-04-07,Maharashtra,Gondia,Food Poisoning,Reported,60,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-10,2025-04-11,Meghalaya,Ri Bhoi,Chickenpox,Reported,30,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-06,2025-04-07,Odisha,Ganjam,Measles,Reported,14,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-12,2025-04-13,Odisha,Khordha,Acute Diarrheal Disease,Reported,142,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-09,2025-04-09,Sikkim,Gyalshing,Acute Diarrheal Disease,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-12,2025-04-12,Tamil Nadu,Erode,Mumps,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-08,2025-04-08,Tamil Nadu,Pudukkottai,Acute Diarrheal Disease,Reported,93,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-11,2025-04-12,Tamil Nadu,Sivaganga,Hepatitis A,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-09,2025-04-12,Tamil Nadu,Tenkasi,Hepatitis A and E,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-08,2025-04-09,Tamil Nadu,Thanjavur,Acute Diarrheal Disease,Reported,99,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-08,2025-04-11,Uttar Pradesh,Gautam Buddha Nagar,Acute Diarrheal Disease,Reported,100,0,"cases in absolute number, deaths in absolute number",
2025,15,2025-04-05,2025-04-08,Uttarakhand,Dehradun,Hepatitis A,Reported late,8,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-05,2025-04-05,Assam,Biswanath,Food Poisoning,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-03,2025-04-04,Bihar,Aurangabad,Fever with Rash,Reported,21,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-03-31,2025-04-04,Bihar,Madhubani,Chickenpox,Reported,14,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-03,2025-04-04,Gujarat,Bhavnagar,Food Poisoning,Reported,20,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-01,2025-04-01,Gujarat,Vadodara,Acute Diarrheal Disease,Reported,20,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-03-31,2025-03-31,Haryana,Yamunanagar,Food Poisoning,Reported,104,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-05,2025-04-05,Jharkhand,East Singhbum,Chickenpox,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-03,2025-04-03,Jharkhand,Giridih,Chickenpox,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-04,2025-04-04,Karnataka,Chikballapur,Hepatitis A,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-03-31,2025-04-04,Kerala,Kottayam,Food Poisoning,Reported,22,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-04,2025-04-05,Kerala,Palakkad,Leishmaniasis,Reported,1,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-03,2025-04-03,Kerala,Palakkad,Hepatitis A,Reported,27,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-04,2025-04-04,Kerala,Pathanamthitta,Food Poisoning,Reported,43,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-03-30,2025-04-02,Kerala,Thrissur,Acute Diarrheal Disease,Reported,78,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-01,2025-04-01,Madhya Pradesh,Rewa,Acute Diarrheal Disease,Reported,19,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-04,2025-04-04,Meghalaya,North Garo Hills,Measles,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-03-30,2025-03-31,Meghalaya,West Jaintia Hills,Food Poisoning,Reported,32,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-04,2025-04-04,Odisha,Anugul,Acute Diarrheal Disease,Reported,81,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-03,2025-04-04,Odisha,Bhadrak,Hepatitis A,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-03,2025-04-04,Odisha,Mayurbhanj,Food Poisoning,Reported,66,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-04,2025-04-05,Odisha,Sambalpur,Acute Diarrheal Disease,Reported,24,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-03,2025-04-03,Puducherry,Pondicherry,Typhoid,Reported,20,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-04,2025-04-05,Tamil Nadu,Erode,Mumps,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-02,2025-04-03,Tamil Nadu,Kallakurichi,Hepatitis A,Reported,24,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-02,2025-04-02,Tamil Nadu,Kallakurichi,Chickenpox,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-01,2025-04-02,Tamil Nadu,Sivaganga,Mumps,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-03-29,2025-03-31,Tamil Nadu,Sivaganga,Hepatitis A,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-04,2025-04-05,Tamil Nadu,Thiruvallur,Dengue,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-05,2025-04-05,Tamil Nadu,Tiruchirappalli,Mumps,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-02,2025-04-03,Tamil Nadu,Virudhunagar,Hepatitis A,Reported,21,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-03-31,2025-04-01,Uttarakhand,Dehradun,Food Poisoning,Reported,383,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-03-31,2025-04-03,Uttarakhand,Haridwar,Food Poisoning,Reported,34,0,"cases in absolute number, deaths in absolute number",
2025,14,2025-04-02,2025-04-02,West Bengal,Purba Barshaman,Acute Diarrheal Disease,Reported,23,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-29,2025-03-29,Assam,Jorhat,Acute Diarrheal Disease,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-29,2025-03-29,Assam,Lakhimpur,Food Poisoning,Reported,38,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-20,2025-03-24,Bihar,Sitamarhi,Food Poisoning,Reported,40,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-22,2025-03-26,Chhattisgarh,Raipur,Typhoid,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-25,2025-03-25,Gujarat,Anand,Hepatitis A,Reported,49,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-27,2025-03-28,Haryana,Kurukshetra,Acute Diarrheal Disease,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-22,2025-03-24,Jammu and Kashmir,Ganderbal,Hepatitis A,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-27,2025-03-27,Jammu and Kashmir,Kulgam,Hepatitis A,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-26,2025-03-26,Jharkhand,Bokaro,Fever with Rash,Reported,6,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-23,2025-03-24,Jharkhand,Dumka,Chickenpox,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-27,2025-03-28,Jharkhand,East Singhbhum,Chickenpox,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-25,2025-03-26,Jharkhand,Khunti,Chickenpox,Reported,3,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-24,2025-03-24,Jharkhand,Khunti,Chickenpox,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-25,2025-03-27,Jharkhand,Ranchi,Chickenpox,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-28,2025-03-28,Jharkhand,West Singhbhum,Acute Diarrheal Disease,Reported,20,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-26,2025-03-26,Kerala,Ernakulam,Acute Diarrheal Disease,Reported,16,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-27,2025-03-27,Kerala,Idukki,Food Poisoning,Reported,55,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-26,2025-03-27,Kerala,Idukki,Acute Diarrheal Disease,Reported,42,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-21,2025-03-26,Kerala,Kannur,Hepatitis A,Reported,35,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-26,2025-03-26,Kerala,Kannur,Hepatitis A,Reported,29,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-02-27,2025-03-27,Kerala,Kozhikode,West Nile Fever,Reported,2,1,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-24,2025-03-26,Kerala,Thrissur,Dengue,Reported,17,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-22,2025-03-24,Kerala,Wayanad,Acute Diarrheal Disease,Reported,16,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-27,2025-03-27,Madhya,Damoh,Measles,Reported,36,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-25,2025-03-25,Madhya,Narsinghpur,Chickenpox,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-26,2025-03-27,Odisha,Khordha,Hepatitis A,Reported,0,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-27,2025-03-29,Tamil Nadu,Coimbatore,Chickenpox,Reported,22,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-30,2025-03-30,Tamil Nadu,Dharmapuri,Chickenpox,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-28,2025-03-29,Tamil Nadu,Dindigul,Acute Diarrheal Disease,Reported,51,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-24,2025-03-25,Tamil Nadu,Dindigul,Chickenpox,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-23,2025-03-25,Tamil Nadu,Kanniyakumari,Food Poisoning,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-27,2025-03-28,Tamil Nadu,Theni,Chickenpox,Reported,6,0,"cases in absolute number, deaths in absolute number",
2025,13,2025-03-22,2025-03-28,West Bengal,Hooghly,Typhoid,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-18,2025-03-18,Assam,Bongaigaon,Chickenpox,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-20,2025-03-21,Bihar,Begusarai,Fever with Rash,Reported,32,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-21,2025-03-21,Bihar,Begusarai,Fever with Rash,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-18,2025-03-20,Chhattisgarh,Raipur,Typhoid,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-17,2025-03-17,Gujarat,Ahmedabad,Cholera,Reported,71,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-18,2025-03-18,Gujarat,Jamnagar,Measles,Reported,4,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-16,2025-03-17,Gujarat,Patan,Hepatitis A,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-22,2025-03-22,Jammu and Kashmir,Jammu,HMPV,Reported,1,1,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-15,2025-03-22,Jammu and Kashmir,Jammu,Hepatitis A,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-17,2025-03-18,Jharkhand,Dumka,Chickenpox,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-22,2025-03-23,Jharkhand,East Singhbhum,Chickenpox,Reported,14,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-23,2025-03-23,Jharkhand,Sahebganj,Malaria,Reported,67,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-16,2025-03-19,Karnataka,Chitradurga,Food Poisoning,Reported,40,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-17,2025-03-18,Karnataka,Davangere,Food Poisoning,Reported,24,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-18,2025-03-18,Karnataka,Hassan,Acute Diarrheal Disease,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-16,2025-03-17,Karnataka,Mandya,Food Poisoning,Reported,128,2,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-21,2025-03-23,Kerala,Ernakulam,Chickenpox,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-15,2025-03-22,Kerala,Kannur,Hepatitis A,Reported,40,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-14,2025-03-18,Kerala,Kannur,Hepatitis A,Reported,39,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-15,2025-03-21,Kerala,Kottayam,Hepatitis A,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-17,2025-03-19,Kerala,Kottayam,Acute Diarrheal Disease,Reported,28,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-13,2025-03-18,Kerala,Kottayam,Hepatitis A,Reported,21,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-15,2025-03-17,Kerala,Kottayam,Acute Diarrheal Disease,Reported,56,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-17,2025-03-20,Kerala,Malappuram,Mpox,Reported,1,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-18,2025-03-18,Kerala,Wayanad,Hepatitis A,Reported,42,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-13,2025-03-18,Madhya Pradesh,Narsinghpur,Mumps,Reported,4,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-17,2025-03-17,Maharashtra,Kolhapur,Hepatitis A,Reported,15,1,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-21,2025-03-22,Manipur,Senapati,Others,Reported,52,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-16,2025-03-21,Meghalaya,West Khasi Hills,Human Rabies,Reported,1,1,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-20,2025-03-20,Tamil Nadu,Salem,Mumps,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-23,2025-03-23,Tamil Nadu,Tenkasi,Hepatitis A and E,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-21,2025-03-22,Tamil Nadu,Tenkasi,Hepatitis A and E,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-19,2025-03-23,Tamil Nadu,Theni,Chickenpox,Reported,6,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-20,2025-03-20,Uttarakhand,Dehradun,Hepatitis A,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-22,2025-03-22,West Bengal,24 Paraganas South,Food Poisoning,Reported,97,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-19,2025-03-21,West Bengal,Howrah,Chickenpox,Reported,19,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-17,2025-03-17,West Bengal,Medinipur East,Food Poisoning,Reported,80,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-20,2025-03-21,West Bengal,Medinipur West,Acute Gastroenteritis,Reported,35,0,"cases in absolute number, deaths in absolute number",
2025,12,2025-03-19,2025-03-20,West Bengal,Purba Bardhaman,Acute Diarrheal Disease,Reported,15,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-08,2025-03-13,Andhra Pradesh,Parvathipuram Manyam,Acute Diarrheal Disease,Reported,19,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-11,2025-03-11,Assam,Barpeta,Fever,Reported,29,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-10,2025-03-11,Assam,Charaideo,Mumps,Reported,4,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-13,2025-03-13,Assam,Hailakandi,Fever with Rash,Reported,15,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-07,2025-03-10,Bihar,Purnia,Acute Diarrheal Disease,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-10,2025-03-10,Gujarat,Sabarkantha,Fever with Rash,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-11,2025-03-11,Jammu and Kashmir,Badgam,Human Rabies,Reported,1,1,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-09,2025-03-10,Jharkhand,Dumka,Fever with Rash,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-11,2025-03-11,Jharkhand,East Singhbum,Chickenpox,Reported,25,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-10,2025-03-10,Jharkhand,East Singhbum,Chickenpox,Reported,22,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-11,2025-03-11,Jharkhand,Khunti,Chickenpox,Reported,25,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-13,2025-03-13,Karnataka,Belagavi,Hepatitis A,Reported,16,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-13,2025-03-13,Karnataka,Chikballapur,Acute Diarrheal Disease,Reported,21,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-10,2025-03-10,Karnataka,Chikballapur,Acute Diarrheal Disease,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-07,2025-03-10,Karnataka,Hassan,Food Poisoning,Reported,14,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-11,2025-03-13,Kerala,Ernakulam,Meningitis,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-14,2025-03-14,Kerala,Kozhikode,Hepatitis A,Reported,58,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-13,2025-03-13,Kerala,Palakkad,Food Poisoning,Reported,152,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-08,2025-03-10,Kerala,Palakkad,Acute Diarrheal Disease,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-12,2025-03-12,Madhya Pradesh,Datia,Food Poisoning,Reported,51,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-12,2025-03-12,Madhya Pradesh,Dindori,Malaria,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-10,2025-03-10,Madhya Pradesh,Gwalior,Measles,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-12,2025-03-12,Maharashtra,Bhandara,Acute Diarrheal Disease,Reported,24,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-10,2025-03-10,Maharashtra,Bhandara,Fever with Rash,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-10,2025-03-13,Maharashtra,Jalgaon,Measles,Reported,3,0,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-10,2025-03-10,Nagaland,Dimapur,Human Rabies,Reported,1,1,"cases in absolute number, deaths in absolute number",
2025,11,2025-03-07,2025-03-10,Punjab,Sri Muktsar Sahib,Chickenpox,Reported,27,0,"cases in absolute number, deaths in absolute number",
